12:51:26.215: Clue SIZE: A MOLE OF
12:51:26.216: Clue VICTIM: QUARKS
12:51:44.700: Awarded: 0 pts
12:51:44.866: Message received: teamsix,password,1,AMDLEOF
12:51:44.868: Awarded: 0 pts
12:51:45.013: Message received: teamsix,password,1,AMDLEOF
12:51:45.013: Awarded: 0 pts
12:51:45.177: Message received: teamsix,password,1,AMDLEOF
12:51:45.180: Awarded: 0 pts
12:51:45.326: Message received: teamsix,password,1,AMDLEOF
12:51:45.327: Awarded: 0 pts
12:51:45.455: Message received: teamsix,password,1,AMDLEOF
12:51:45.456: Awarded: 0 pts
12:51:45.581: Message received: teamsix,password,1,AMDLEOF
12:51:45.582: Awarded: 0 pts
12:51:45.705: Message received: teamsix,password,1,AMDLEOF
12:51:45.707: Awarded: 0 pts
12:51:45.852: Message received: teamsix,password,1,AMDLEOF
12:51:45.853: Awarded: 0 pts
12:51:45.981: Message received: teamsix,password,1,AMDLEOF
12:51:45.983: Awarded: 0 pts
12:51:46.108: Message received: teamsix,password,1,AMDLEOF
12:51:46.109: Awarded: 0 pts
12:51:46.233: Message received: teamsix,password,1,AMDLEOF
12:51:46.234: Awarded: 0 pts
12:51:46.365: Message received: teamsix,password,1,AMDLEOF
12:51:46.366: Awarded: 0 pts
12:51:46.514: Message received: teamsix,password,1,AMDLEOF
12:51:46.515: Awarded: 0 pts
12:51:46.643: Message received: teamsix,password,1,AMDLEOF
12:51:46.644: Awarded: 0 pts
12:51:46.773: Message received: teamsix,password,1,AMDLEOF
12:51:46.774: Awarded: 0 pts
12:51:46.901: Message received: teamsix,password,1,AMDLEOF
12:51:46.903: Awarded: 0 pts
12:51:47.039: Message received: teamsix,password,1,AMDLEOF
12:51:47.040: Awarded: 0 pts
12:51:47.179: Message received: teamsix,password,1,AMDLEOF
12:51:47.180: Awarded: 0 pts
12:51:47.308: Message received: teamsix,password,1,AMDLEOF
12:51:47.309: Awarded: 0 pts
12:51:47.451: Message received: teamsix,password,1,AMDLEOF
12:51:47.453: Awarded: 0 pts
12:51:47.582: Message received: teamsix,password,1,AMDLEOF
12:51:47.584: Awarded: 0 pts
12:51:47.720: Message received: teamsix,password,1,AMDLEOF
12:51:47.722: Awarded: 0 pts
12:51:47.856: Message received: teamsix,password,1,AMDLEOF
12:51:47.857: Awarded: 0 pts
12:51:47.981: Message received: teamsix,password,1,AMDLEOF
12:51:47.982: Awarded: 0 pts
12:51:48.123: Message received: teamsix,password,1,AMDLEOF
12:51:48.124: Awarded: 0 pts
12:51:48.266: Message received: teamsix,password,1,AMDLEOF
12:51:48.267: Awarded: 0 pts
12:51:48.398: Message received: teamsix,password,1,AMDLEOF
12:51:48.399: Awarded: 0 pts
12:51:48.540: Message received: teamsix,password,1,AMDLEOF
12:51:48.541: Awarded: 0 pts
12:51:48.672: Message received: teamsix,password,1,AMDLEOF
12:51:48.673: Awarded: 0 pts
12:51:48.802: Message received: teamsix,password,1,AMDLEOF
12:51:48.803: Awarded: 0 pts
12:51:48.934: Message received: teamsix,password,1,AMDLEOF
12:51:48.936: Awarded: 0 pts
12:51:49.066: Message received: teamsix,password,1,AMDLEOF
12:51:49.068: Awarded: 0 pts
12:51:49.202: Message received: teamsix,password,1,AMDLEOF
12:51:49.203: Awarded: 0 pts
12:51:49.325: Message received: teamsix,password,1,AMDLEOF
12:51:49.326: Awarded: 0 pts
12:51:49.467: Message received: teamsix,password,1,AMDLEOF
12:51:49.468: Awarded: 0 pts
12:51:49.595: Message received: teamsix,password,1,AMDLEOF
12:51:49.597: Awarded: 0 pts
12:51:49.724: Message received: teamsix,password,1,AMDLEOF
12:51:49.725: Awarded: 0 pts
12:51:49.859: Message received: teamsix,password,1,AMDLEOF
12:51:49.860: Awarded: 0 pts
12:51:49.997: Message received: teamsix,password,1,AMDLEOF
12:51:49.999: Awarded: 0 pts
12:51:50.130: Message received: teamsix,password,1,AMDLEOF
12:51:50.132: Awarded: 0 pts
12:51:50.264: Message received: teamsix,password,1,AMDLEOF
12:51:50.266: Awarded: 0 pts
12:51:50.397: Message received: teamsix,password,1,AMDLEOF
12:51:50.398: Awarded: 0 pts
12:51:50.533: Message received: teamsix,password,1,AMDLEOF
12:51:50.534: Awarded: 0 pts
12:51:50.659: Message received: teamsix,password,1,AMDLEOF
12:51:50.660: Awarded: 0 pts
12:51:50.791: Message received: teamsix,password,1,AMDLEOF
12:51:50.794: Awarded: 0 pts
12:51:50.915: Message received: teamsix,password,1,AMDLEOF
12:51:50.915: Awarded: 0 pts
12:51:51.052: Message received: teamsix,password,1,AMDLEOF
12:51:51.053: Awarded: 0 pts
12:51:51.184: Message received: teamsix,password,1,AMDLEOF
12:51:51.185: Awarded: 0 pts
12:51:51.311: Message received: teamsix,password,1,AMDLEOF
12:51:51.312: Awarded: 0 pts
12:51:51.452: Message received: teamsix,password,1,AMDLEOF
12:51:51.453: Awarded: 0 pts
12:51:51.596: Message received: teamsix,password,1,AMDLEOF
12:51:51.597: Awarded: 0 pts
12:51:51.728: Message received: teamsix,password,1,AMDLEOF
12:51:51.729: Awarded: 0 pts
12:51:51.868: Message received: teamsix,password,1,AMDLEOF
12:51:51.869: Awarded: 0 pts
12:51:51.987: Message received: teamsix,password,1,AMDLEOF
12:51:51.988: Awarded: 0 pts
12:51:52.118: Message received: teamsix,password,1,AMDLEOF
12:51:52.119: Awarded: 0 pts
12:51:52.254: Message received: teamsix,password,1,AMDLEOF
12:51:52.256: Awarded: 0 pts
12:51:52.396: Message received: teamsix,password,1,AMDLEOF
12:51:52.397: Awarded: 0 pts
12:51:52.544: Message received: teamsix,password,1,AMDLEOF
12:51:52.545: Awarded: 0 pts
12:51:52.678: Message received: teamsix,password,1,AMDLEOF
12:51:52.678: Awarded: 0 pts
12:51:52.833: Message received: teamsix,password,1,AMDLEOF
12:51:52.834: Awarded: 0 pts
12:51:52.958: Message received: teamsix,password,1,AMDLEOF
12:51:52.959: Awarded: 0 pts
12:51:53.084: Message received: teamsix,password,1,AMDLEOF
12:51:53.085: Awarded: 0 pts
12:51:53.219: Message received: teamsix,password,1,AMDLEOF
12:51:53.220: Awarded: 0 pts
12:51:53.348: Message received: teamsix,password,1,AMDLEOF
12:51:53.349: Awarded: 0 pts
12:51:53.477: Message received: teamsix,password,1,AMDLEOF
12:51:53.479: Awarded: 0 pts
12:51:53.606: Message received: teamsix,password,1,AMDLEOF
12:51:53.607: Awarded: 0 pts
12:51:53.736: Message received: teamsix,password,1,AMDLEOF
12:51:53.738: Awarded: 0 pts
12:51:53.871: Message received: teamsix,password,1,AMDLEOF
12:51:53.872: Awarded: 0 pts
12:51:54.007: Message received: teamsix,password,1,AMDLEOF
12:51:54.011: Awarded: 0 pts
12:51:54.141: Message received: teamsix,password,1,AMDLEOF
12:51:54.142: Awarded: 0 pts
12:51:54.289: Message received: teamsix,password,1,AMDLEOF
12:51:54.289: Awarded: 0 pts
12:51:54.422: Message received: teamsix,password,1,AMDLEOF
12:51:54.423: Awarded: 0 pts
12:51:54.557: Message received: teamsix,password,1,AMDLEOF
12:51:54.558: Awarded: 0 pts
12:51:54.679: Message received: teamsix,password,1,AMDLEOF
12:51:54.682: Awarded: 0 pts
12:51:54.816: Message received: teamsix,password,1,AMDLEOF
12:51:54.817: Awarded: 0 pts
12:51:54.940: Message received: teamsix,password,1,AMDLEOF
12:51:54.941: Awarded: 0 pts
12:51:55.075: Message received: teamsix,password,1,AMDLEOF
12:51:55.076: Awarded: 0 pts
12:51:55.216: Message received: teamsix,password,1,AMDLEOF
12:51:55.217: Awarded: 0 pts
12:51:55.344: Message received: teamsix,password,1,AMDLEOF
12:51:55.345: Awarded: 0 pts
12:51:55.473: Message received: teamsix,password,1,AMDLEOF
12:51:55.474: Awarded: 0 pts
12:51:55.601: Message received: teamsix,password,1,AMDLEOF
12:51:55.602: Awarded: 0 pts
12:51:55.741: Message received: teamsix,password,1,AMDLEOF
12:51:55.742: Awarded: 0 pts
12:51:55.877: Message received: teamsix,password,1,AMDLEOF
12:51:55.879: Awarded: 0 pts
12:51:56.015: Message received: teamsix,password,1,AMDLEOF
12:51:56.016: Awarded: 0 pts
12:51:56.145: Message received: teamsix,password,1,AMDLEOF
12:51:56.146: Awarded: 0 pts
12:51:56.259: Message received: teamsix,password,1,AMDLEOF
12:51:56.260: Awarded: 0 pts
12:51:56.403: Message received: teamsix,password,1,AMDLEOF
12:51:56.404: Awarded: 0 pts
12:51:56.520: Message received: teamsix,password,1,AMDLEOF
12:51:56.521: Awarded: 0 pts
12:51:56.662: Message received: teamsix,password,1,AMDLEOF
12:51:56.664: Awarded: 0 pts
12:51:56.792: Message received: teamsix,password,1,AMDLEOF
12:51:56.793: Awarded: 0 pts
12:51:56.926: Message received: teamsix,password,1,AMDLEOF
12:51:56.927: Awarded: 0 pts
12:51:57.062: Message received: teamsix,password,1,AMDLEOF
12:51:57.063: Awarded: 0 pts
12:51:57.192: Message received: teamsix,password,1,AMDLEOF
12:51:57.194: Awarded: 0 pts
12:51:57.336: Message received: teamsix,password,1,AMDLEOF
12:51:57.336: Awarded: 0 pts
12:51:57.459: Message received: teamsix,password,1,AMDLEOF
12:51:57.460: Awarded: 0 pts
12:51:57.593: Message received: teamsix,password,1,AMDLEOF
12:51:57.595: Awarded: 0 pts
12:51:57.739: Message received: teamsix,password,1,AMDLEOF
12:51:57.740: Awarded: 0 pts
12:51:57.864: Message received: teamsix,password,1,AMDLEOF
12:51:57.865: Awarded: 0 pts
12:51:58.006: Message received: teamsix,password,1,AMDLEOF
12:51:58.007: Awarded: 0 pts
12:51:58.134: Message received: teamsix,password,1,AMDLEOF
12:51:58.135: Awarded: 0 pts
12:51:58.265: Message received: teamsix,password,1,AMDLEOF
12:51:58.266: Awarded: 0 pts
12:51:58.388: Message received: teamsix,password,1,AMDLEOF
12:51:58.389: Awarded: 0 pts
12:51:58.514: Message received: teamsix,password,1,AMDLEOF
12:51:58.515: Awarded: 0 pts
12:51:58.640: Message received: teamsix,password,1,AMDLEOF
12:51:58.642: Awarded: 0 pts
12:51:58.760: Message received: teamsix,password,1,AMDLEOF
12:51:58.761: Awarded: 0 pts
12:51:58.885: Message received: teamsix,password,1,AMDLEOF
12:51:58.886: Awarded: 0 pts
12:51:59.015: Message received: teamsix,password,1,AMDLEOF
12:51:59.016: Awarded: 0 pts
12:51:59.140: Message received: teamsix,password,1,AMDLEOF
12:51:59.141: Awarded: 0 pts
12:51:59.270: Message received: teamsix,password,1,AMDLEOF
12:51:59.271: Awarded: 0 pts
12:51:59.409: Message received: teamsix,password,1,AMDLEOF
12:51:59.410: Awarded: 0 pts
12:51:59.532: Message received: teamsix,password,1,AMDLEOF
12:51:59.535: Awarded: 0 pts
12:51:59.677: Message received: teamsix,password,1,AMDLEOF
12:51:59.678: Awarded: 0 pts
12:51:59.809: Message received: teamsix,password,1,AMDLEOF
12:51:59.809: Awarded: 0 pts
12:51:59.950: Message received: teamsix,password,1,AMDLEOF
12:51:59.952: Awarded: 0 pts
12:52:00.091: Message received: teamsix,password,1,AMDLEOF
12:52:00.094: Awarded: 0 pts
12:52:00.214: Message received: teamsix,password,1,AMDLEOF
12:52:00.217: Awarded: 0 pts
12:52:00.361: Message received: teamsix,password,1,AMDLEOF
12:52:00.362: Awarded: 0 pts
12:52:00.497: Message received: teamsix,password,1,AMDLEOF
12:52:00.498: Awarded: 0 pts
12:52:00.627: Message received: teamsix,password,1,AMDLEOF
12:52:00.629: Awarded: 0 pts
12:52:00.771: Message received: teamsix,password,1,AMDLEOF
12:52:00.773: Awarded: 0 pts
12:52:00.901: Message received: teamsix,password,1,AMDLEOF
12:52:00.903: Awarded: 0 pts
12:52:01.026: Message received: teamsix,password,1,AMDLEOF
12:52:01.027: Awarded: 0 pts
12:52:01.156: Message received: teamsix,password,1,AMDLEOF
12:52:01.157: Awarded: 0 pts
12:52:01.281: Message received: teamsix,password,1,AMDLEOF
12:52:01.282: Awarded: 0 pts
12:52:01.412: Message received: teamsix,password,1,AMDLEOF
12:52:01.413: Awarded: 0 pts
12:52:01.537: Message received: teamsix,password,1,AMDLEOF
12:52:01.538: Awarded: 0 pts
12:52:01.671: Message received: teamsix,password,1,AMDLEOF
12:52:01.672: Awarded: 0 pts
12:52:01.797: Message received: teamsix,password,1,AMDLEOF
12:52:01.798: Awarded: 0 pts
12:52:01.924: Message received: teamsix,password,1,AMDLEOF
12:52:01.925: Awarded: 0 pts
12:52:02.047: Message received: teamsix,password,1,AMDLEOF
12:52:02.049: Awarded: 0 pts
12:52:02.185: Message received: teamsix,password,1,AMDLEOF
12:52:02.185: Awarded: 0 pts
12:52:02.312: Message received: teamsix,password,1,AMDLEOF
12:52:02.314: Awarded: 0 pts
12:52:02.450: Message received: teamsix,password,1,AMDLEOF
12:52:02.451: Awarded: 0 pts
12:52:02.576: Message received: teamsix,password,1,AMDLEOF
12:52:02.577: Awarded: 0 pts
12:52:02.704: Message received: teamsix,password,1,AMDLEOF
12:52:02.705: Awarded: 0 pts
12:52:02.841: Message received: teamsix,password,1,AMDLEOF
12:52:02.843: Awarded: 0 pts
12:52:02.972: Message received: teamsix,password,1,AMDLEOF
12:52:02.975: Awarded: 0 pts
12:52:03.106: Message received: teamsix,password,1,AMDLEOF
12:52:03.107: Awarded: 0 pts
12:52:03.235: Message received: teamsix,password,1,AMDLEOF
12:52:03.237: Awarded: 0 pts
12:52:03.368: Message received: teamsix,password,1,AMDLEOF
12:52:03.369: Awarded: 0 pts
12:52:03.505: Message received: teamsix,password,1,AMDLEOF
12:52:03.506: Awarded: 0 pts
12:52:03.629: Message received: teamsix,password,1,AMDLEDF
12:52:03.632: Awarded: 0 pts
12:52:03.764: Message received: teamsix,password,1,AMDLEOF
12:52:03.765: Awarded: 0 pts
12:52:03.894: Message received: teamsix,password,1,AMDLEOF
12:52:03.895: Awarded: 0 pts
12:52:04.023: Message received: teamsix,password,1,AMDLEOF
12:52:04.024: Awarded: 0 pts
12:52:04.152: Message received: teamsix,password,1,AMDLEOF
12:52:04.153: Awarded: 0 pts
12:52:04.286: Message received: teamsix,password,1,AMDLEOF
12:52:04.288: Awarded: 0 pts
12:52:04.424: Message received: teamsix,password,1,AMDLEOF
12:52:04.425: Awarded: 0 pts
12:52:04.555: Message received: teamsix,password,1,AMDLEOF
12:52:04.558: Awarded: 0 pts
12:52:04.694: Message received: teamsix,password,1,AMDLEOF
12:52:04.696: Awarded: 0 pts
12:52:04.837: Message received: teamsix,password,1,AMDLEOF
12:52:04.839: Awarded: 0 pts
12:52:04.960: Message received: teamsix,password,1,AMDLEOF
12:52:04.961: Awarded: 0 pts
12:52:05.106: Message received: teamsix,password,1,AMDLEOF
12:52:05.108: Awarded: 0 pts
12:52:05.244: Message received: teamsix,password,1,AMDLEOF
12:52:05.245: Awarded: 0 pts
12:52:05.372: Message received: teamsix,password,1,AMDLEOF
12:52:05.374: Awarded: 0 pts
12:52:05.508: Message received: teamsix,password,1,AMDLEOF
12:52:05.509: Awarded: 0 pts
12:52:05.644: Message received: teamsix,password,1,AMDLEOF
12:52:05.645: Awarded: 0 pts
12:52:05.794: Message received: teamsix,password,1,AMDLEOF
12:52:05.795: Awarded: 0 pts
12:52:05.896: Message received: teamsix,password,1,AMDLEOF
12:52:05.897: Awarded: 0 pts
12:52:06.024: Message received: teamsix,password,1,AMDLEOF
12:52:06.025: Awarded: 0 pts
12:52:06.158: Message received: teamsix,password,1,AMDLEOF
12:52:06.159: Awarded: 0 pts
12:52:06.289: Message received: teamsix,password,1,AMDLEOF
12:52:06.290: Awarded: 0 pts
12:52:06.402: Message received: teamsix,password,1,AMDLEOF
12:52:06.403: Awarded: 0 pts
12:52:06.534: Message received: teamsix,password,1,AMDLEOF
12:52:06.535: Awarded: 0 pts
12:52:06.661: Message received: teamsix,password,1,AMDLEOF
12:52:06.663: Awarded: 0 pts
12:52:06.791: Message received: teamsix,password,1,AMDLEOF
12:52:06.792: Awarded: 0 pts
12:52:06.915: Message received: teamsix,password,1,AMDLEOF
12:52:06.916: Awarded: 0 pts
12:52:07.043: Message received: teamsix,password,1,AMDLEOF
12:52:07.044: Awarded: 0 pts
12:52:07.183: Message received: teamsix,password,1,AMDLEOF
12:52:07.185: Awarded: 0 pts
12:52:07.313: Message received: teamsix,password,1,AMDLEOF
12:52:07.315: Awarded: 0 pts
