12:54:20.418: Clue SIZE: A MOLE OF
12:54:20.418: Clue VICTIM: QUARKS
12:54:26.818: Awarded: 0 pts
12:54:26.934: Message received: teamsix,password,1,AMDLEOF
12:54:26.935: Awarded: 0 pts
12:54:27.056: Message received: teamsix,password,1,AMDLEOF
12:54:27.057: Awarded: 0 pts
12:54:27.167: Message received: teamsix,password,1,AMDLEOF
12:54:27.168: Awarded: 0 pts
12:54:27.289: Message received: teamsix,password,1,AMDLEOF
12:54:27.291: Awarded: 0 pts
12:54:27.411: Message received: teamsix,password,1,AMDLEOF
12:54:27.412: Awarded: 0 pts
12:54:27.536: Message received: teamsix,password,1,AMDLEOF
12:54:27.538: Awarded: 0 pts
12:54:27.666: Message received: teamsix,password,1,AMDLEOF
12:54:27.669: Awarded: 0 pts
12:54:27.802: Message received: teamsix,password,1,AMDLEOF
12:54:27.803: Awarded: 0 pts
12:54:27.920: Message received: teamsix,password,1,AMDLEOF
12:54:27.921: Awarded: 0 pts
12:54:28.034: Message received: teamsix,password,1,AMDLEOF
12:54:28.035: Awarded: 0 pts
12:54:28.157: Message received: teamsix,password,1,AMDLEOF
12:54:28.158: Awarded: 0 pts
12:54:28.283: Message received: teamsix,password,1,AMDLEOF
12:54:28.284: Awarded: 0 pts
12:54:28.412: Message received: teamsix,password,1,AMDLEOF
12:54:28.413: Awarded: 0 pts
12:54:28.538: Message received: teamsix,password,1,AMDLEOF
12:54:28.539: Awarded: 0 pts
12:54:28.663: Message received: teamsix,password,1,AMDLEOF
12:54:28.664: Awarded: 0 pts
12:54:28.779: Message received: teamsix,password,1,AMDLEOF
12:54:28.780: Awarded: 0 pts
12:54:28.896: Message received: teamsix,password,1,AMDLEOF
12:54:28.897: Awarded: 0 pts
12:54:29.019: Message received: teamsix,password,1,AMDLEOF
12:54:29.019: Awarded: 0 pts
12:54:29.149: Message received: teamsix,password,1,AMDLEOF
12:54:29.150: Awarded: 0 pts
12:54:29.270: Message received: teamsix,password,1,AMDLEOF
12:54:29.271: Awarded: 0 pts
12:54:29.400: Message received: teamsix,password,1,AMDLEOF
12:54:29.401: Awarded: 0 pts
12:54:29.518: Message received: teamsix,password,1,AMDLEOF
12:54:29.519: Awarded: 0 pts
12:54:29.644: Message received: teamsix,password,1,AMDLEOF
12:54:29.645: Awarded: 0 pts
12:54:29.770: Message received: teamsix,password,1,AMDLEOF
12:54:29.771: Awarded: 0 pts
12:54:29.884: Message received: teamsix,password,1,AMDLEOF
12:54:29.886: Awarded: 0 pts
12:54:30.011: Message received: teamsix,password,1,AMDLEOF
12:54:30.012: Awarded: 0 pts
12:54:30.132: Message received: teamsix,password,1,AMDLEOF
12:54:30.134: Awarded: 0 pts
12:54:30.264: Message received: teamsix,password,1,AMDLEOF
12:54:30.265: Awarded: 0 pts
12:54:30.395: Message received: teamsix,password,1,AMDLEOF
12:54:30.396: Awarded: 0 pts
12:54:30.512: Message received: teamsix,password,1,AMDLEOF
12:54:30.513: Awarded: 0 pts
12:54:30.640: Message received: teamsix,password,1,AMDLEOF
12:54:30.641: Awarded: 0 pts
12:54:30.766: Message received: teamsix,password,1,AMDLEOF
12:54:30.767: Awarded: 0 pts
12:54:30.888: Message received: teamsix,password,1,AMDLEOF
12:54:30.889: Awarded: 0 pts
12:54:31.005: Message received: teamsix,password,1,AMDLEOF
12:54:31.006: Awarded: 0 pts
12:54:31.121: Message received: teamsix,password,1,AMDLEOF
12:54:31.122: Awarded: 0 pts
12:54:31.257: Message received: teamsix,password,1,AMDLEOF
12:54:31.258: Awarded: 0 pts
12:54:31.376: Message received: teamsix,password,1,AMDLEOF
12:54:31.377: Awarded: 0 pts
12:54:31.499: Message received: teamsix,password,1,AMDLEOF
12:54:31.500: Awarded: 0 pts
12:54:31.618: Message received: teamsix,password,1,AMDLEOF
12:54:31.618: Awarded: 0 pts
12:54:31.744: Message received: teamsix,password,1,AMDLEOF
12:54:31.745: Awarded: 0 pts
12:54:31.866: Message received: teamsix,password,1,AMDLEOF
12:54:31.867: Awarded: 0 pts
12:54:32.003: Message received: teamsix,password,1,AMDLEOF
12:54:32.006: Awarded: 0 pts
12:54:32.123: Message received: teamsix,password,1,AMDLEOF
12:54:32.124: Awarded: 0 pts
12:54:32.244: Message received: teamsix,password,1,AMDLEOF
12:54:32.246: Awarded: 0 pts
12:54:32.361: Message received: teamsix,password,1,AMDLEOF
12:54:32.362: Awarded: 0 pts
12:54:32.481: Message received: teamsix,password,1,AMDLEOF
12:54:32.482: Awarded: 0 pts
12:54:32.608: Message received: teamsix,password,1,AMDLEOF
12:54:32.609: Awarded: 0 pts
12:54:32.732: Message received: teamsix,password,1,AMDLEOF
12:54:32.733: Awarded: 0 pts
12:54:32.858: Message received: teamsix,password,1,AMDLEOF
12:54:32.859: Awarded: 0 pts
12:54:32.989: Message received: teamsix,password,1,AMDLEOF
12:54:32.990: Awarded: 0 pts
12:54:33.115: Message received: teamsix,password,1,AMDLEOF
12:54:33.116: Awarded: 0 pts
12:54:33.232: Message received: teamsix,password,1,AMDLEOF
12:54:33.233: Awarded: 0 pts
12:54:33.365: Message received: teamsix,password,1,AMDLEOF
12:54:33.366: Awarded: 0 pts
12:54:33.486: Message received: teamsix,password,1,AMDLEOF
12:54:33.487: Awarded: 0 pts
12:54:33.611: Message received: teamsix,password,1,AMDLEOF
12:54:33.612: Awarded: 0 pts
12:54:33.739: Message received: teamsix,password,1,AMDLEOF
12:54:33.740: Awarded: 0 pts
12:54:33.868: Message received: teamsix,password,1,AMDLEOF
12:54:33.869: Awarded: 0 pts
12:54:33.985: Message received: teamsix,password,1,AMDLEOF
12:54:33.986: Awarded: 0 pts
12:54:34.104: Message received: teamsix,password,1,AMDLEOF
12:54:34.105: Awarded: 0 pts
12:54:34.217: Message received: teamsix,password,1,AMDLEOF
12:54:34.219: Awarded: 0 pts
12:54:34.342: Message received: teamsix,password,1,AMDLEOF
12:54:34.344: Awarded: 0 pts
12:54:34.465: Message received: teamsix,password,1,AMDLEOF
12:54:34.466: Awarded: 0 pts
12:54:34.585: Message received: teamsix,password,1,AMDLEOF
12:54:34.586: Awarded: 0 pts
12:54:34.704: Message received: teamsix,password,1,AMDLEOF
12:54:34.705: Awarded: 0 pts
12:54:34.832: Message received: teamsix,password,1,AMDLEOF
12:54:34.833: Awarded: 0 pts
12:54:34.957: Message received: teamsix,password,1,AMDLEOF
12:54:34.958: Awarded: 0 pts
12:54:35.132: Message received: teamsix,password,1,AMDLEOF
12:54:35.132: Awarded: 0 pts
12:54:35.277: Message received: teamsix,password,1,AMDLEOF
12:54:35.278: Awarded: 0 pts
12:54:35.460: Message received: teamsix,password,1,AMDLEOF
12:54:35.462: Awarded: 0 pts
12:54:35.619: Message received: teamsix,password,1,AMDLEOF
12:54:35.620: Awarded: 0 pts
12:54:35.747: Message received: teamsix,password,1,AMDLEOF
12:54:35.750: Awarded: 0 pts
12:54:35.895: Message received: teamsix,password,1,AMDLEOF
12:54:35.896: Awarded: 0 pts
12:54:36.027: Message received: teamsix,password,1,AMDLEOF
12:54:36.028: Awarded: 0 pts
12:54:36.159: Message received: teamsix,password,1,AMDLEOF
12:54:36.161: Awarded: 0 pts
12:54:36.288: Message received: teamsix,password,1,AMDLEOF
12:54:36.289: Awarded: 0 pts
12:54:36.416: Message received: teamsix,password,1,AMDLEOF
12:54:36.417: Awarded: 0 pts
12:54:36.545: Message received: teamsix,password,1,AMDLEOF
12:54:36.546: Awarded: 0 pts
12:54:36.664: Message received: teamsix,password,1,AMDLEOF
12:54:36.665: Awarded: 0 pts
12:54:36.802: Message received: teamsix,password,1,AMDLEOF
12:54:36.803: Awarded: 0 pts
12:54:36.941: Message received: teamsix,password,1,AMDLEOF
12:54:36.942: Awarded: 0 pts
12:54:37.030: Message received: teamsix,password,1,AMDLEOF
12:54:37.031: Awarded: 0 pts
12:54:37.146: Message received: teamsix,password,1,AMDLEOF
12:54:37.147: Awarded: 0 pts
12:54:37.281: Message received: teamsix,password,1,AMDLEOF
12:54:37.282: Awarded: 0 pts
12:54:37.411: Message received: teamsix,password,1,AMDLEOF
12:54:37.412: Awarded: 0 pts
12:54:37.505: Message received: teamsix,password,1,AMDLEOF
12:54:37.506: Awarded: 0 pts
12:54:37.612: Message received: teamsix,password,1,AMDLEOF
12:54:37.613: Awarded: 0 pts
12:54:37.742: Message received: teamsix,password,1,AMDLEOF
12:54:37.746: Awarded: 0 pts
12:54:37.867: Message received: teamsix,password,1,AMDLEOF
12:54:37.868: Awarded: 0 pts
12:54:38.012: Message received: teamsix,password,1,AMDLEOF
12:54:38.014: Awarded: 0 pts
12:54:38.149: Message received: teamsix,password,1,AMDLEOF
12:54:38.150: Awarded: 0 pts
12:54:38.270: Message received: teamsix,password,1,AMDLEOF
12:54:38.273: Awarded: 0 pts
12:54:38.394: Message received: teamsix,password,1,AMDLEOF
12:54:38.395: Awarded: 0 pts
12:54:38.534: Message received: teamsix,password,1,AMDLEOF
12:54:38.535: Awarded: 0 pts
12:54:38.665: Message received: teamsix,password,1,AMDLEOF
12:54:38.667: Awarded: 0 pts
12:54:38.789: Message received: teamsix,password,1,AMDLEOF
12:54:38.790: Awarded: 0 pts
12:54:38.924: Message received: teamsix,password,1,AMDLEOF
12:54:38.925: Awarded: 0 pts
12:54:39.043: Message received: teamsix,password,1,AMDLEOF
12:54:39.044: Awarded: 0 pts
12:54:39.162: Message received: teamsix,password,1,AMDLEOF
12:54:39.163: Awarded: 0 pts
12:54:39.285: Message received: teamsix,password,1,AMDLEOF
12:54:39.285: Awarded: 0 pts
12:54:39.404: Message received: teamsix,password,1,AMDLEOF
12:54:39.405: Awarded: 0 pts
12:54:39.518: Message received: teamsix,password,1,AMDLEOF
12:54:39.519: Awarded: 0 pts
12:54:39.616: Message received: teamsix,password,1,AMDLEOF
12:54:39.617: Awarded: 0 pts
12:54:39.733: Message received: teamsix,password,1,AMDLEOF
12:54:39.734: Awarded: 0 pts
12:54:39.861: Message received: teamsix,password,1,AMDLEOF
12:54:39.862: Awarded: 0 pts
12:54:39.983: Message received: teamsix,password,1,AMDLEOF
12:54:39.985: Awarded: 0 pts
12:54:40.088: Message received: teamsix,password,1,AMDLEOF
12:54:40.089: Awarded: 0 pts
12:54:40.186: Message received: teamsix,password,1,AMDLEOF
12:54:40.188: Awarded: 0 pts
12:54:40.309: Message received: teamsix,password,1,AMDLEOF
12:54:40.310: Awarded: 0 pts
12:54:40.438: Message received: teamsix,password,1,AMDLEOF
12:54:40.441: Awarded: 0 pts
12:54:40.557: Message received: teamsix,password,1,AMDLEOF
12:54:40.558: Awarded: 0 pts
12:54:40.685: Message received: teamsix,password,1,AMDLEOF
12:54:40.686: Awarded: 0 pts
12:54:40.805: Message received: teamsix,password,1,AMDLEOF
12:54:40.806: Awarded: 0 pts
12:54:40.913: Message received: teamsix,password,1,AMDLEOF
12:54:40.915: Awarded: 0 pts
12:54:41.031: Message received: teamsix,password,1,AMDLEOF
12:54:41.032: Awarded: 0 pts
12:54:41.137: Message received: teamsix,password,1,AMDLEOF
12:54:41.137: Awarded: 0 pts
12:54:41.230: Message received: teamsix,password,1,AMDLEOF
12:54:41.232: Awarded: 0 pts
12:54:41.359: Message received: teamsix,password,1,AMDLEOF
12:54:41.360: Awarded: 0 pts
12:54:41.487: Message received: teamsix,password,1,AMDLEOF
12:54:41.489: Awarded: 0 pts
12:54:41.609: Message received: teamsix,password,1,AMDLEOF
12:54:41.610: Awarded: 0 pts
12:54:41.727: Message received: teamsix,password,1,AMDLEOF
12:54:41.728: Awarded: 0 pts
12:54:41.846: Message received: teamsix,password,1,AMDLEOF
12:54:41.850: Awarded: 0 pts
12:54:41.964: Message received: teamsix,password,1,AMDLEOF
12:54:41.966: Awarded: 0 pts
12:54:42.092: Message received: teamsix,password,1,AMDLEOF
12:54:42.093: Awarded: 0 pts
12:54:42.209: Message received: teamsix,password,1,AMDLEOF
12:54:42.209: Awarded: 0 pts
12:54:42.318: Message received: teamsix,password,1,AMDLEOF
12:54:42.319: Awarded: 0 pts
12:54:42.430: Message received: teamsix,password,1,AMDLEOF
12:54:42.430: Awarded: 0 pts
12:54:42.550: Message received: teamsix,password,1,AMDLEOF
12:54:42.552: Awarded: 0 pts
12:54:42.685: Message received: teamsix,password,1,AMDLEOF
12:54:42.686: Awarded: 0 pts
12:54:42.812: Message received: teamsix,password,1,AMDLEDF
12:54:42.813: Awarded: 0 pts
12:54:42.941: Message received: teamsix,password,1,AMDLEOF
12:54:42.942: Awarded: 0 pts
12:54:43.072: Message received: teamsix,password,1,AMDLEOF
12:54:43.073: Awarded: 0 pts
12:54:43.200: Message received: teamsix,password,1,AMDLEOF
12:54:43.201: Awarded: 0 pts
12:54:43.328: Message received: teamsix,password,1,AMDLEOF
12:54:43.329: Awarded: 0 pts
12:54:43.455: Message received: teamsix,password,1,AMDLEOF
12:54:43.458: Awarded: 0 pts
12:54:43.588: Message received: teamsix,password,1,AMDLEOF
12:54:43.591: Awarded: 0 pts
12:54:43.709: Message received: teamsix,password,1,AMDLEOF
12:54:43.710: Awarded: 0 pts
12:54:43.835: Message received: teamsix,password,1,AMDLEOF
12:54:43.837: Awarded: 0 pts
12:54:43.948: Message received: teamsix,password,1,AMDLEOF
12:54:43.949: Awarded: 0 pts
12:54:44.067: Message received: teamsix,password,1,AMDLEOF
12:54:44.069: Awarded: 0 pts
12:54:44.191: Message received: teamsix,password,1,AMDLEOF
12:54:44.192: Awarded: 0 pts
12:54:44.326: Message received: teamsix,password,1,AMDLEOF
12:54:44.328: Awarded: 0 pts
12:54:44.449: Message received: teamsix,password,1,AMDLEOF
12:54:44.450: Awarded: 0 pts
12:54:44.570: Message received: teamsix,password,1,AMDLEOF
12:54:44.571: Awarded: 0 pts
12:54:44.680: Message received: teamsix,password,1,AMDLEOF
12:54:44.681: Awarded: 0 pts
12:54:44.754: Message received: teamsix,password,1,AMDLEOF
12:54:44.755: Awarded: 0 pts
12:54:44.830: Message received: teamsix,password,1,AMDLEOF
12:54:44.831: Awarded: 0 pts
12:54:44.928: Message received: teamsix,password,1,AMDLEOF
12:54:44.929: Awarded: 0 pts
12:54:45.036: Message received: teamsix,password,1,AMDLEOF
12:54:45.037: Awarded: 0 pts
12:54:45.146: Message received: teamsix,password,1,AMDLEOF
12:54:45.147: Awarded: 0 pts
12:54:45.263: Message received: teamsix,password,1,AMDLEOF
12:54:45.265: Awarded: 0 pts
12:54:45.379: Message received: teamsix,password,1,AMDLEOF
12:54:45.380: Awarded: 0 pts
12:54:45.481: Message received: teamsix,password,1,AMDLEOF
12:54:45.483: Awarded: 0 pts
12:54:45.596: Message received: teamsix,password,1,AMDLEOF
12:54:45.598: Awarded: 0 pts
12:54:45.710: Message received: teamsix,password,1,AMDLEOF
12:54:45.711: Awarded: 0 pts
12:54:45.822: Message received: teamsix,password,1,AMDLEOF
12:54:45.823: Awarded: 0 pts
12:54:45.936: Message received: teamsix,password,1,AMDLEOF
12:54:45.937: Awarded: 0 pts
12:54:46.039: Message received: teamsix,password,1,AMDLEOF
12:54:46.041: Awarded: 0 pts
12:54:46.143: Message received: teamsix,password,1,AMDLEOF
12:54:46.144: Awarded: 0 pts
12:54:46.256: Message received: teamsix,password,1,AMDLEOF
12:54:46.257: Awarded: 0 pts
12:54:46.369: Message received: teamsix,password,1,AMDLEOF
12:54:46.370: Awarded: 0 pts
12:54:46.480: Message received: teamsix,password,1,AMDLEOF
12:54:46.481: Awarded: 0 pts
12:54:46.594: Message received: teamsix,password,1,AMDLEOF
12:54:46.595: Awarded: 0 pts
12:54:46.697: Message received: teamsix,password,1,AMDLEOF
12:54:46.699: Awarded: 0 pts
12:54:46.807: Message received: teamsix,password,1,AMDLEOF
12:54:46.809: Awarded: 0 pts
12:54:46.934: Message received: teamsix,password,1,AMDLEOF
12:54:46.936: Awarded: 0 pts
12:54:47.055: Message received: teamsix,password,1,AMDLEOF
12:54:47.056: Awarded: 0 pts
12:54:47.167: Message received: teamsix,password,1,AMDLEOF
12:54:47.168: Awarded: 0 pts
12:54:47.280: Message received: teamsix,password,1,AMDLEOF
12:54:47.281: Awarded: 0 pts
12:54:47.389: Message received: teamsix,password,1,AMDLEOF
12:54:47.390: Awarded: 0 pts
12:54:47.493: Message received: teamsix,password,1,AMDLEOF
12:54:47.495: Awarded: 0 pts
12:54:47.600: Message received: teamsix,password,1,AMDLEOF
12:54:47.601: Awarded: 0 pts
12:54:47.730: Message received: teamsix,password,1,AMDLEOF
12:54:47.733: Awarded: 0 pts
12:54:47.852: Message received: teamsix,password,1,AMDLEOF
12:54:47.853: Awarded: 0 pts
12:54:47.983: Message received: teamsix,password,1,AMDLEOF
12:54:47.984: Awarded: 0 pts
12:54:48.120: Message received: teamsix,password,1,AMDLEOF
12:54:48.121: Awarded: 0 pts
12:54:48.248: Message received: teamsix,password,1,AMDLEOF
12:54:48.250: Awarded: 0 pts
12:54:48.390: Message received: teamsix,password,1,AMDLEOF
12:54:48.392: Awarded: 0 pts
12:54:48.525: Message received: teamsix,password,1,AMDLEOF
12:54:48.526: Awarded: 0 pts
12:54:48.648: Message received: teamsix,password,1,AMDLEOF
12:54:48.649: Awarded: 0 pts
12:54:48.775: Message received: teamsix,password,1,AMDLEOF
12:54:48.776: Awarded: 0 pts
12:54:48.896: Message received: teamsix,password,1,AMDLEOF
12:54:48.897: Awarded: 0 pts
12:54:49.021: Message received: teamsix,password,1,AMDLEOF
12:54:49.022: Awarded: 0 pts
12:54:49.143: Message received: teamsix,password,1,AMDLEOF
12:54:49.144: Awarded: 0 pts
12:54:49.277: Message received: teamsix,password,1,AMDLEOF
12:54:49.278: Awarded: 0 pts
12:54:49.393: Message received: teamsix,password,1,AMDLEOF
12:54:49.395: Awarded: 0 pts
12:54:49.515: Message received: teamsix,password,1,AMDLEOF
12:54:49.516: Awarded: 0 pts
12:54:49.640: Message received: teamsix,password,1,AMDLEOF
12:54:49.642: Awarded: 0 pts
12:54:49.770: Message received: teamsix,password,1,AMDLEOF
12:54:49.771: Awarded: 0 pts
12:54:49.894: Message received: teamsix,password,1,AMDLEOF
12:54:49.896: Awarded: 0 pts
12:54:50.011: Message received: teamsix,password,1,AMDLEOF
12:54:50.020: Awarded: 0 pts
12:54:50.140: Message received: teamsix,password,1,AMDLEOF
12:54:50.142: Awarded: 0 pts
12:54:50.258: Message received: teamsix,password,1,AMDLEOF
12:54:50.261: Awarded: 0 pts
12:54:50.379: Message received: teamsix,password,1,AMDLEOF
12:54:50.380: Awarded: 0 pts
12:54:50.497: Message received: teamsix,password,1,AMDLEOF
12:54:50.500: Awarded: 0 pts
12:54:50.631: Message received: teamsix,password,1,AMDLEOF
12:54:50.632: Awarded: 0 pts
12:54:50.744: Message received: teamsix,password,1,AMDLEOF
12:54:50.746: Awarded: 0 pts
12:54:50.863: Message received: teamsix,password,1,AMDLEOF
12:54:50.864: Awarded: 0 pts
12:54:50.989: Message received: teamsix,password,1,AMDLEOF
12:54:50.991: Awarded: 0 pts
12:54:51.109: Message received: teamsix,password,1,AMDLEOF
12:54:51.112: Awarded: 0 pts
12:54:51.226: Message received: teamsix,password,1,AMDLEOF
12:54:51.227: Awarded: 0 pts
12:54:51.347: Message received: teamsix,password,1,AMDLEOF
12:54:51.350: Awarded: 0 pts
12:54:51.469: Message received: teamsix,password,1,AMDLEOF
12:54:51.471: Awarded: 0 pts
12:54:51.606: Message received: teamsix,password,1,AMDLEOF
12:54:51.607: Awarded: 0 pts
12:54:51.735: Message received: teamsix,password,1,AMDLEOF
12:54:51.736: Awarded: 0 pts
12:54:51.871: Message received: teamsix,password,1,AMDLEOF
12:54:51.872: Awarded: 0 pts
12:54:51.991: Message received: teamsix,password,1,AMDLEOF
12:54:51.992: Awarded: 0 pts
12:54:52.109: Message received: teamsix,password,1,AMDLEOF
12:54:52.110: Awarded: 0 pts
12:54:52.231: Message received: teamsix,password,1,AMDLEOF
12:54:52.232: Awarded: 0 pts
12:54:52.346: Message received: teamsix,password,1,AMDLEOF
12:54:52.347: Awarded: 0 pts
12:54:52.476: Message received: teamsix,password,1,AMDLEOF
12:54:52.477: Awarded: 0 pts
12:54:52.601: Message received: teamsix,password,1,AMDLEOF
12:54:52.602: Awarded: 0 pts
12:54:52.726: Message received: teamsix,password,1,AMDLEOF
12:54:52.727: Awarded: 0 pts
12:54:52.840: Message received: teamsix,password,1,AMDLEOF
12:54:52.842: Awarded: 0 pts
12:54:52.960: Message received: teamsix,password,1,AMDLEOF
12:54:52.961: Awarded: 0 pts
12:54:53.084: Message received: teamsix,password,1,AMDLEOF
12:54:53.085: Awarded: 0 pts
12:54:53.205: Message received: teamsix,password,1,AMDLEOF
12:54:53.207: Awarded: 0 pts
12:54:53.322: Message received: teamsix,password,1,AMDLEOF
12:54:53.323: Awarded: 0 pts
12:54:53.445: Message received: teamsix,password,1,AMDLEOF
12:54:53.447: Awarded: 0 pts
12:54:53.564: Message received: teamsix,password,1,AMDLEOF
12:54:53.565: Awarded: 0 pts
12:54:53.681: Message received: teamsix,password,1,AMDLEOF
12:54:53.683: Awarded: 0 pts
12:54:53.815: Message received: teamsix,password,1,AMDLEOF
12:54:53.816: Awarded: 0 pts
12:54:53.949: Message received: teamsix,password,1,AMDLEOF
12:54:53.950: Awarded: 0 pts
12:54:54.063: Message received: teamsix,password,1,AMDLEOF
12:54:54.064: Awarded: 0 pts
12:54:54.175: Message received: teamsix,password,1,AMDLEOF
12:54:54.176: Awarded: 0 pts
12:54:54.299: Message received: teamsix,password,1,AMDLEOF
12:54:54.301: Awarded: 0 pts
12:54:54.422: Message received: teamsix,password,1,AMDLEOF
12:54:54.423: Awarded: 0 pts
12:54:54.550: Message received: teamsix,password,1,AMDLEOF
12:54:54.551: Awarded: 0 pts
12:54:54.662: Message received: teamsix,password,1,AMDLEOF
12:54:54.663: Awarded: 0 pts
12:54:54.782: Message received: teamsix,password,1,AMDLEOF
12:54:54.783: Awarded: 0 pts
12:54:54.894: Message received: teamsix,password,1,AMDLEOF
12:54:54.895: Awarded: 0 pts
12:54:55.020: Message received: teamsix,password,1,AMDLEOF
12:54:55.022: Awarded: 0 pts
12:54:55.134: Message received: teamsix,password,1,AMDLEOF
12:54:55.135: Awarded: 0 pts
12:54:55.244: Message received: teamsix,password,1,AMDLEOF
12:54:55.245: Awarded: 0 pts
12:54:55.365: Message received: teamsix,password,1,AMDLEOF
12:54:55.367: Awarded: 0 pts
12:54:55.501: Message received: teamsix,password,1,AMDLEOF
12:54:55.503: Awarded: 0 pts
12:54:55.625: Message received: teamsix,password,1,AMDLEOF
12:54:55.626: Awarded: 0 pts
12:54:55.745: Message received: teamsix,password,1,AMDLEOF
12:54:55.746: Awarded: 0 pts
12:54:55.880: Message received: teamsix,password,1,AMDLEOF
12:54:55.881: Awarded: 0 pts
